dataset,model1,model2,sampling_strategy,mapping,lambda,latent_dim,num_samples,MSE_loss,MSE_loss_model1,MSE_loss_model2,class
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,convex_hull,Linear,0,10,100,0.18880459666252136,0.1785191297531128,0.1801459938287735,9
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0,10,100,0.17954783141613007,0.1736486703157425,0.17486311495304108,0
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0,10,100,0.1277383714914322,0.12704162299633026,0.12574052810668945,1
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0,10,100,0.21676363050937653,0.20890919864177704,0.21523305773735046,2
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0,10,100,0.1420622020959854,0.13568918406963348,0.13522027432918549,3
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0,10,100,0.23135928809642792,0.21677319705486298,0.2206064909696579,4
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0,10,100,0.07921278476715088,0.07752275466918945,0.08025547116994858,5
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0,10,100,0.1817711442708969,0.17577219009399414,0.1790078729391098,6
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0,10,100,0.10506052523851395,0.09668741375207901,0.10006129741668701,7
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0,10,100,0.21982917189598083,0.20946551859378815,0.21528267860412598,8
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0,10,100,0.18762192130088806,0.17895933985710144,0.18039509654045105,9
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,outliers,Linear,0,10,100,0.18245026469230652,0.17378705739974976,0.17510688304901123,0
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,outliers,Linear,0,10,100,0.13053551316261292,0.12680204212665558,0.1258752942085266,1
